date,vpos,content,command,type,word
1173204264,4668,フルCGだねぇ,,,
1173249927,7414,キャラソングとか、声優が歌うって文化の前身？,,,
1173275513,486,走っているコースは実際の大会で使われてたやつだったって知ってますか？,ue red,nan,nan
1173337685,1101,酔う酔う酔う,,,
1173338334,4122,ハリケーンソニックてＴＺか,,,
1173443210,507,神曲,red,nan,nan
1173443252,559,↑９６か９７年のＧＪＣのコースだっけ？,shita,nan,nan
1173454151,1836,レツゴーで一番好きな曲だ。,big green,nan,nan
1173462262,4906,はああ　いいわー,,,
1173527621,1045,他のコースを走っている奴のＥＤでも、走っているコースは全て実際の大会で使われてたやつです。,big yellow,nan,nan
1173548264,3378,映画版観たいぜ……ガンブラスター・・・・,,,
1173549398,6758,あぁ懐かしいぜ、神曲だ,,,
1173592090,3537,２番はソロがあるんだよね,,,
1173755423,4655,ネオトライダガーは俺の愛機,,,
1173859680,5862,うぇ,,,
1173941911,248,CDもってる…,shita,nan,nan
1174234129,3874,レッツゴー！,big green,nan,nan
1174234321,833,なつかしい。。。。,,,
1174234366,5407,ヘイ！！！！！,,,
1175094310,1074,レッツゴーと聞いて飛んできました,big green,nan,nan
1175094323,2406,こんなコースあったらよくね？,big green,nan,nan
1175167149,2471,↑実際に大会で使われました。他のＥＤでコースは知っているやつはみんな実際の大会で使われたやつですよ。,shita red,nan,nan
1175213814,1366,いい曲だな,,,
1175463342,3174,誰か　ぱっぱっぱらぱっぱっぱぱらいぇいいぇいえー　てED知らないか？,,,
1175468250,3276,↑スマン解決した,,,
1175669598,6149,ソロ持ってる,,,
1175963632,1118,当然持ってる,,,
1176136808,522,ぱっぱ　ぱっぱ　ぱっぱらぱら　ってやつも好き,,,
1176358228,6623,Sha la la la la la la・・・,,,
1176369634,1152,うぃーあーざーびーくとーりーず,,,
1176994954,3318,ちゃーちゃらららーらーらーマイドリーム　　ってなんだっけ,,,
1177304464,2465,kimoi,,,
1177304508,6763,うぇうぇ,,,
1177470981,5222,主題歌集のフルコーラスで藤吉のソロが分からない…,shita,nan,nan
1178039511,1032,なつかしい,,,
1178039570,6925,歌える自分がいる,,,
1178113470,3114,リョウの声だけ浮いてて笑える,,,
1179225338,2696,ノリノリだな,,,
1180371237,2453,この曲はかわいくて好き,,,
1180371263,5151,これのフルききたい,,,
1180828518,982,ﾅﾂｶｼｽ,,,
1180852203,3840,レッツゴー！！,big pink,nan,nan
1181833815,3647,リョウワロスｗ,,,
1181833830,5768,うぃーあーざ　びーーーくとーーーりーーーーず,,,
1183810085,2518,水の上イィネ(・∀・),,,
1183818356,65,これは名曲,shita big red,nan,nan
1183818706,5342,藤吉のソロはリョウの後の「So! Let's Go!!」だけ,,,
1184609448,6031,これのカップリングもネ申だったなぁ　BATTLE SCRUM誰か知ってる？,,,
1185428845,805,なにこれ,,,
1185428871,3458,たしかに,,,
1185428908,7107,リョウｗｗｗっｗｗ,,,
1185428908,7191,ｗｗ,,,
1185449478,536,あーｗ,,,
1185449481,865,なっついなｗ,,,
1185594176,6262,リョウの声がGAのフォルテさん並に浮いてるｗｗ,,,
1186483308,1170,この曲好き！！！とくに烈と豪がいいーーーーー！！！！！,orange,nan,nan
1186483368,5081,CDかったーーー！！！（テーマソング,green shita small,nan,nan
1186558826,7335,土屋の声はいってない？,,,
1187671915,3281,なつかしす,,,
1187721404,499,なっつかしいいいいいい,,,
1187721417,1771,あまりの懐かしさｗ,,,
1187721449,4942,うむTZだがなにか,,,
1188738722,4282,サイクロンからＴＺだよ,,,
1189879160,6721,なつかしい,,,
1190124866,7316,スーパーサイクロンサーキット,shita,nan,nan
1190279516,7353,入ってるよ,,,
1190376403,823,これ神曲すぎてマジ泣ける,,,
1190376428,3414,教室で歌ってたのが懐かしい,,,
1190376438,4410,２番の方がみんなのソロがあって好きだ,,,
1190451007,643,なつかしい,,,
1190451039,3866,レッツゴーなにげに神曲多いよな,,,
1191788852,178,神EDｋｔｋｒ,cyan big,nan,nan
1191788896,2779,あああああああもう大好きだ！！！,cyan big,nan,nan
1194025683,7499,グレートアトミックサーキットだよ,184,nan,nan
1194745873,1748,神曲,184,nan,nan
1194748933,2986,baby boyもいいよな,184,nan,nan
1197163334,1014,神EDｷﾀｰｰｰｰｰｰｰｰｰ,184,nan,nan
1197343580,7194,懐かしい,184,nan,nan
1197394724,1126,これは覚えてるわ,184,nan,nan
1198812065,5648,バスターソニックは愛車,184,nan,nan
1198812080,7129,Jは？,184,nan,nan
1199261205,792,なつい！！！！,184,nan,nan
1199261217,1980,なけるーーーーーーー,184,nan,nan
1199261233,3600,レッツゴー！,184,nan,nan
1200105780,3506,2番ではリョウのソロパートがあります,green shita small 184,nan,nan
1200132394,1045,元気なうた,184,nan,nan
1200132408,2476,このED大好き,184,nan,nan
1200132423,3934,レツゴ－！,184,nan,nan
1202215898,2147,学校帰りの電車でこれ聞きながら帰ってる,184,nan,nan
1202215935,3994,ソニック自重,184,nan,nan
1202304672,3366,だれかサイクロンマグナム買って,184,nan,nan
1202740884,6427,マグナムソニックかっけー,184,nan,nan
1205823912,2544,こういう長距離コースは掃除が大変そうだ,184,nan,nan
1205839843,5258,みんなでタミヤの大会に参加しよう！！！！,184,nan,nan
1205859640,1998,寺宝うぜえ,184,nan,nan
1206024310,2811,リョウ好きにはたまらん浮き方,184,nan,nan
1206251215,2153,懐かしいｗ,184,nan,nan
1206287685,4846,当時はまったなぁ,184,nan,nan
1206320609,2197,今でもよく歌ってる･･･(ぇ),184,nan,nan
1206506415,6332,ミニ四駆また買いたくなったｗ,184,nan,nan
1206884909,1223,コメント１０１～,184,nan,nan
1209791687,1079,神キタ,,,
1213198331,731,鉄心ｾﾝｾの声優さんって亡くなってんだよな・・・,184,nan,nan
1213632540,828,ow,184,nan,nan
1213632544,1160,おｗ,184,nan,nan
1214040639,3785,これ好き　フルバージョンあったらお願いします,sage 184,nan,nan
1217205464,2774,うわぁ～,184,nan,nan
1217205467,3085,懐かしい～！,184,nan,nan
1217205468,3234,最高！,184,nan,nan
1217205475,3887,いいじゃんか！？,184,nan,nan
1217205483,4655,コレ大好きだった,184,nan,nan
1217205499,6327,いいですな～,184,nan,nan
1217205501,6499,最高！,184,nan,nan
1217205505,6883,おもろい！,184,nan,nan
1217205512,7503,！,184,nan,nan
1218363132,7503,次回,184,nan,nan
1219585051,1144,取手,shita 184,nan,nan
1219585053,1492,天王台,shita 184,nan,nan
1219585057,1902,我孫子北柏,shita 184,nan,nan
1219585067,1418,天王台,shita 184,nan,nan
1219585074,1656,我孫子,shita 184,nan,nan
1219585082,2498,しんまつど,shita 184,nan,nan
1219585093,3545,きたせんじゅ,shita 184,nan,nan
1219585097,3931,町や,shita 184,nan,nan
1219585099,4195,西日暮里,shita 184,nan,nan
1219585110,5222,赤坂の喫茶か,shita 184,nan,nan
1223353400,5084,うｐ主に感謝,184,nan,nan
1223389881,16,超CGｗｗｗｗｗ,,,
1227312484,3009,当時としては神レベルのCGだな,184,nan,nan
1227709713,3383,これ全国大会のコース？女の子が優勝した・・,184,nan,nan
1233471706,5672,CDどこいったかな…,184,nan,nan
1233757483,6936,たかのさんはうたいたくなかったらしいｗ,184,nan,nan
1234151289,5409,っへ！！,shita 184,nan,nan
1236163142,4927,ＤＶＤＢＯＸのノンテロップのやつには気分悪くなるから２ｍぐらい離れろって描いてある,orange 184,nan,nan
1252755958,5402,確かどっかの大会にこんなサーキットで走ってたような・・・,184,nan,nan
1256110088,3108,まさに　ネ☆申　だぜ,184 red big,nan,nan
1256435133,1076,見てたなぁ,184,nan,nan
1257419730,5015,下ｗｗｗｗｗ地元ｗｗｗｗｗｗ,184,nan,nan
1259597652,3040,リョウ君人気だね。レツ好きの私嫉妬,184,nan,nan
1259680390,2127,うう；目が回る；,184,nan,nan
1266417669,3749,リョウの声がやたら目立つｗｗｗ,184,nan,nan
1316335272,7153,Z・M・C！Z・M・C！,184,nan,nan
1326637139,2727,当時見てなかったんだよな・・・,,,
1329127391,1682,これが最期のがよかった,184,nan,nan
1329613115,1068,このＣＧがすごい好きだった,184,nan,nan
1330188299,1144,運動会で踊ったんです,184,nan,nan
1342418407,2348,３Ｄはターゲットボーイだろ,184,nan,nan
1344574341,5188,かわいい,184,nan,nan
1408932280,1244,取手,184 shita green,nan,nan
1408932291,1384,天王台,184 shita green,nan,nan
1408932298,1559,我孫子,184 shita green,nan,nan
1408932306,1647,北柏,184 shita green,nan,nan
1408932331,1873,柏　南柏,184 shita green,nan,nan
1408932338,2177,北小金,184 shita green,nan,nan
1408932349,2372,新松戸　馬橋,184 shita green,nan,nan
1408932360,2646,北松戸　松戸,184 shita green,nan,nan
1408932374,2975,金町　亀有　綾瀬,184 shita green,nan,nan
1408932380,3557,北千住,184 shita green,nan,nan
1408932400,3918,町屋　西日暮里,184 shita green,nan,nan
1408932412,4224,千駄木　根津,184 shita green,nan,nan
1408932422,4402,湯島,184 shita green,nan,nan
1408932443,4530,新御茶ノ水　大手町,184 shita green,nan,nan
1408932476,5229,赤坂　乃木坂　表参道,184 shita green,nan,nan
1408932488,5575,明治神宮前,184 shita green,nan,nan
1408932508,6319,代々木公園　代々木上原,184 shita green,nan,nan
1410760503,47,絵桐.萌村,184,nan,nan
1420797745,699,懐かしいーーーー,184,nan,nan
1420797847,3293,駅名やめて,184,nan,nan
1426607399,6714,さいこうだ・・・,184,nan,nan
1439821578,6128,泣ける(T ^ T)あの頃カムバック,184,nan,nan
1443526288,4209,下なんだwwwwwwwww,184,nan,nan
1444315643,1579,声優が滅茶苦茶豪華,184,nan,nan
1173189169,2113,弱キャラ乙,,,
1173189213,2676,結局一番コンボが入りやすいのがQというオチ,,,
1173862848,3038,まずQでスタンへ持っていくこと自体が（ｒｙ,shita,nan,nan
1174121668,2806,とりあえずQで相手をスタンにする方法を教えてください,,,
1174494030,2968,4中Pのスタン値はヤバイゼ,,,
1174690168,1003,Rhapsodyかよ,,,
1174828668,2907,ラプソディいいよラプソディ,,,
1174889192,3290,スーパープレーってほどじゃないｗ,,,
1175964669,1628,きめえ音楽,,,
1176442519,1199,他のコンボムービーでも聴いた覚えがあるんだけど・・・ラプソディ好き多いのか？,,,
1177294752,1617,エメソワロタｗｗｗｗ,,,
1177423535,3277,エメソもう終りかよwwwwwwww,,,
1177591774,1933,MADやゲーム動画で使いやすいんじゃね　Rhapsodyは,,,
1178901345,614,エメラルドソードか,,,
1191337585,925,俺はQしか使えない,,,
1192545885,2296, Qはつええ,,,
1200868522,2816,捕獲でスタンさせれる事ってあんまなさそうだ,184,nan,nan
1201702769,920,↑よう俺,184,nan,nan
1237712977,1264,北斗の動画でもこの局よくつかうな,,,
1242714913,2629,使いこなせるとこれ以上においしいキャラないわ,184,nan,nan
1253786654,70,ラプソディ自重ｗｗｗ,184,nan,nan
1262365398,950,❁,184 big,nan,nan
1262365456,950,✫,184 big,nan,nan
1262365466,950,❂,184 big,nan,nan
1262365483,950,✡,184 big,nan,nan
1262365496,950,✾,184 big,nan,nan
1262365621,1246,❀,184 ue big,nan,nan
1262365632,1246,✾,184 ue big,nan,nan
1262365635,1246,☆,184 ue big,nan,nan
1262365641,1246,✫,184 ue big,nan,nan
1262365656,1246,✢,184 ue big,nan,nan
1262365661,1246,☤,184 ue big,nan,nan
1262365665,1246,☸,184 ue big,nan,nan
1262365702,1656,†,184 ue yellow big,nan,nan
1262365708,1656,☤,184 ue yellow big,nan,nan
1262365713,1656,†,184 ue yellow big,nan,nan
1262365717,1656,☸,184 ue yellow big,nan,nan
1262365745,2084,☸　　　☸,184 ue yellow big,nan,nan
1262365774,2084,☸　　　　☸,184 ue green big,nan,nan
1262365809,2084,☸　　　☸,184 ue red,nan,nan
1262365825,2084,☸　☸,184 ue red small,nan,nan
1262365846,2084,☤　　　　　　☤,184 ue green big,nan,nan
1262365915,2460,☸　　　　　☸　　　　　☸,184 green big,nan,nan
1262365947,2460,☸　　☸　　☸　　☸　　☸,184 green small,nan,nan
1262365967,2460,☸　　☸　　☸　　☸,184 green,nan,nan
1262366026,2813,☸☸☸☸☸☸☸☸☸☸☸☸☸☸☸☸☸☸☸☸☸☸☸☸,184 green,nan,nan
1262366033,2813,☸☸☸☸☸☸☸☸☸☸☸☸☸☸☸☸☸☸☸,184 green,nan,nan
1262366045,2813,☸☸☸☸☸☸☸☸☸☸☸☸☸☸,184 green,nan,nan
1262366053,2813,☸☸☸☸☸☸☸☸☸,184 green,nan,nan
1262366064,2813,☸☸☸☸,184 green,nan,nan
1262366080,3163,☸☸☸☸☸☸☸☸☸,184 green,nan,nan
1262366104,3163,☸　　　　☸　　　　☸　　　　☸,184 green,nan,nan
1262366125,3163,☸　　　　　☸　　　　　☸　　　　　☸,184 green,nan,nan
1262366149,3163,☸　　　　　　☸　　　　　　☸　　　　　　☸,184 green,nan,nan
1345132459,1541,ほおこんな動画が・・,184,nan,nan
1410861051,2289,中Pそんなに機能するんだｗ,184,nan,nan
1173139358,1195,よくできてる,,,
1173139455,2202,ぬ？,,,
1173139472,3892,順次に歌うのかｗｗｗｗ,,,
1173139551,11857,キョンと古泉はなしかこれはこれの9人ｖｅｒもききたいな,,,
1173139650,21159,これはいいなまじ,,,
1173139819,15498,すげぇｗｗｗｗｗｗｗｗｗ合ってるｗｗｗｗｗｗｗｗ,,,
1173139847,6520,アメーバのほうクソ重過ぎて移動しますたｗｗｗｗ,,,
1173140117,17447,久々に聞く怒涛の７人編集だ,,,
1173140741,21052,見入ってコメントするのを忘れてしまった・・・,,,
1173143621,15768,この編集はネ申ｗｗｗｗ,,,
1173143653,19584,あってるｗｗｗ,,,
1173144151,5927,ここはEDのままだろ,,,
1173144255,16321,このMADはすごいな,,,
1173144285,4287,俺の嫁,,,
1173144326,20088,怒涛だな,,,
1173144473,690,これはすごい,,,
1173145105,2406,ハルヒは俺の｢嫁,,,
1173145242,16115,いいいいいいいいよおおおおおおおお,,,
1173145273,16199,ピーマン食え35歳！！！！！１１１１,,,
1173146171,18934,普通に1曲の曲としてしか聞こえない…すげえ,,,
1173146418,11640,すげええなｗ,,,
1173146480,15676,はさみぃ,,,
1173147455,18304,もう本家出せねーな　こういうのｗｗｗｗ,,,
1173147649,14448,ざ☆ん☆ね☆う,big blue shita,nan,nan
1173147858,3650,やっぱアメーバよりこっちのが・・・いいよな,,,
1173147894,7498,キョン萌え(*´д`*),,,
1173147983,16502,てへへ♪は世界破滅させる気か。,,,
1173148022,19446,うまいｗｗ,,,
1173148028,20677,最後まで萌えました,,,
1173154904,15315,リスクでぇす！,big green,nan,nan
1173163483,9851,鶴屋さｎｷﾀｺﾚ,,,
1173163989,20898,凄すぎてコメントできない件,,,
1173165056,1061,１００コメントめざすぞ,big,nan,nan
1173165079,4302,萌えーー,big,nan,nan
1173165264,12231,憑　か　れ　る,big shita,nan,nan
1173165305,12285,憑かれる,red,nan,nan
1173165351,16390,オキテーえ,red,nan,nan
1173165511,10888,にょろ～,,,
1173165615,19171,めがっさぁ,,,
1173165928,6103,一人１０コメントな,shita red big,nan,nan
1173165957,12588,いいおいいお,shita red big,nan,nan
1173166107,10377,声がエロイ,,,
1173166144,6857,一人１０コメわろたｗｗｗ,,,
1173166539,4305,いいね,cyan,nan,nan
1173175481,7933,＊間奏＊,shita big yellow,nan,nan
1173175809,141,＊前奏＊,shita big yellow,nan,nan
1173176445,8829,俺の嫁,shita black,nan,nan
1173176844,2553,俺の嫁パート,red,nan,nan
1173177018,3916,お？お？おｗ,,,
1173177514,4101,もじぴったんもよろしく！！,big shita red,nan,nan
1173177943,16144,うまーーーw,,,
1173178567,12184,誰コレ,,,
1173191191,10598,        ↓毛虫のような眉毛,ue red,nan,nan
1173191474,13312,めがっさ！,,,
1173193341,9007,やっぱこれいいね。,,,
1173193430,17533,３５歳言うなｗ,,,
1173193822,6896,眉の動きがいい,,,
1173194498,7928,タグﾜﾛｽｗｗ,,,
1173197028,7643,キョンは俺の嫁(ﾟ∀ﾟ),big red shita,nan,nan
1173197185,214,作ったやつＧＪ( ≧∀≦)b,big red shita,nan,nan
1173212472,11311,☆☆テヘ☆☆,big pink sita,nan,nan
1173212588,16380,ここまでしないとおきてない…キョン…カワイイ…,big pink sita,nan,nan
1173213315,12194,喜緑江美里さん,big green,nan,nan
1173213330,13782,にょろーん,big green,nan,nan
1173213446,908,アメーバからきました,,,
1173213531,9417,俺の嫁にょろ,,,
1173213673,19736,入ります？,green,nan,nan
1173263145,609,これではるぴったんキボン（・∀・）,,,
1173269714,10112,小説立ち読みしてきますたｗｗｗ,big red shita,nan,nan
1173270350,2132,wktk,,,
1173270438,10938,うめぇｗｗｗｗ,,,
1173274957,4911,泉こなた,big green,nan,nan
1173278114,16750,声震えてる,shita,nan,nan
1173278182,13411,ちゅるやさｎ,shita,nan,nan
1173278199,15101,つかれてるｗｗ,big,nan,nan
1173278227,17951,受験終わったー,big,nan,nan
1173278412,20767,あんまりコメントするとダメになるしね,big,nan,nan
1173294166,13977,朝倉さんうますｇ,,,
1173328290,20861,まさに神,,,
1173345895,6794,よしきたｗｗｗ,,,
1173345909,8257,古泉のエロさは異常。,,,
1173345981,15399,ざんねうバロスｗｗｗｗ,,,
1173346045,19898,何だこのクオリティは…,,,
1173346076,20773,はいはいF5の時間ですよｗ,,,
1173348922,20754,これは有りだろ,,,
1173353672,1915,これはなんだー,,,
1173353727,5998,一樹たのしそうだなｗ,,,
1173353760,7881,うなだれかわゆすｗｗ,,,
1173354017,10245,コメント薄いなｗ,,,
1173354035,12066,妹,,,
1173354043,12773,エヘヘ,,,
1173354084,16920,キョンすげえｗｗ,,,
1173371949,7748,古泉は俺の嫁,purple shita big,nan,nan
1173372034,7633,俺の嫁（古泉）がノリノリだ,,,
1173395618,9694,グループ魂に押され気味だな,shita,nan,nan
1173400706,3581,みいるな！,,,
1173421070,14555,宇宙人３号,,,
1173463471,7030,これはいいｗｗｗｗｗｗ,black,nan,nan
1173463607,20551,それにしてもこの動画ノリノリである,shita ,nan,nan
1173463651,2830,１００ゲトー,red,nan,nan
1173501718,20989,Ｆ５連打しろ!!,cyen,nan,nan
1173599259,20444,９人ver作ってくれ,,,
1173616583,3532,俺の嫁,,,
1173784685,7351,やっぱこのダンスはこの曲が一番,,,
1173907430,20997,これがもとじゃねーの？,,,
1173907808,20117,すげえいい　ｇｊ！！！,,,
1173908335,3085,何回F5を押させる気だ,,,
1174057214,17988,俺も終わったぜ,,,
1174062327,1328,すごいのか,,,
1174062397,8392,２番か,,,
1174062403,9029,冒険で書でしょ,,,
1174062412,9910,童貞でしょでしょ,,,
1174062487,17287,ぶーーーーん,,,
1174062519,20324,うめーーーー,,,
1174063440,8532,ここからが良い,,,
1174063451,9553,ちゅるやさん,,,
1174063460,10483,ブルマ,,,
1174063517,16167,ピーマンいらな～い♪,big green,nan,nan
1174063565,20992,ＧＪ(^_^)b,big green,nan,nan
1174065608,4592,あ　　そ　　ぼ　　う　　！,,,
1174065744,7721,好　き　で　し　ょ　！,,,
1174065838,9247,めがっさ　(^-^),center green,nan,nan
1174065993,17479,あ　　そ　　ぼ　　う　　！,mannnaka cyan,nan,nan
1174066162,18309,萌え～,,,
1174066231,18605,手からビ～ム！,cyan,nan,nan
1174066334,20778,エクセレント！,big green,nan,nan
1174098946,9341,僕はかずきじゃなくていつきです,,,
1174099042,18944,長門おおおおおおおお,,,
1174099060,20736,めがっさにょろーん,,,
1174105660,14715,きみどりさんは長門のバックアップ,shita,nan,nan
1174115116,7706,よころべぇ、俺の股間が古泉を欲しがっている,shita,nan,nan
1174199630,16770,この編集は神,big green,nan,nan
1174226554,2537,バトンタァッチ!!!!!,,,
1174226618,8950,鶴屋さぁぁぁぁぁぁぁん!!!!!!!!!!!!!!,big green,nan,nan
1174226632,10329,こわっ!!!,big green,nan,nan
1174226649,12061,緑文字強制!!!!,big green,nan,nan
1174226663,13498,っさ,big green,nan,nan
1174226695,15653,はさみ貸して～～～～～～～～～～～～,big red,nan,nan
1174226760,17594,最後は全員で～～～～、GO!!!!!!!!!!!!!!!!,big red,nan,nan
1174226807,20697,GJGJGJGJGJGJGJGJGJGJGJGJGJGJGJGJGJGJGJGJGJ,shita green,nan,nan
1174228362,20893,GJ!!!,red,nan,nan
1174316533,7696,問題はこの後だ,,,
1174316682,10776,これ誰？,,,
1174316710,13270,これは無理矢理合成か,,,
1174328852,8607,おぉいいね,,,
1174328886,11982,かわいい,,,
1174348406,21065,高画質版→sm5998,,,
1174361396,7735,嫁？！,,,
1174361411,8378,ちゅるやさん,,,
1174361422,9493,俺の嫁！！,,,
1174446590,2137,ワロスｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,big green,nan,nan
1174446700,13124,すごｗｗｗｗｗｗｗｗｗｗｗ,big green,nan,nan
1174446708,13923,でたｗｗ,big green,nan,nan
1174446746,17714,すごすｗｗｗｗｗｗｗｗｗｗｗｗｗ,big green,nan,nan
1174447588,13612,最強じゃんこれｗｗｗｗｗｗｗｗ,,,
1174447622,19712,編集神棚ｗ,,,
1174447647,14644,進みますか　帰りましょうか,shita red,nan,nan
1174447679,17860,きた～～～～～～,shita red,nan,nan
1174451402,3640,これがニコニコで見れるとは思わなかった,big green,nan,nan
1174451425,6039,後半ｗｋｔｋ,big green,nan,nan
1174451461,9596,鶴屋さーーーーーーーーーーん,big green,nan,nan
1174451530,16500,ピーマン,big green,nan,nan
1174451539,17387,くるぞ,big green,nan,nan
1174454419,11815,俺の嫁,,,
1174455910,21039,これは神動画,shita,nan,nan
1174459184,18455,みくる可愛いよみくる(*´д｀*)ﾊｧﾊｧ,,,
1174461399,6497,断る,shita,nan,nan
1174477703,15838,あたしコーラ～～!,big green,nan,nan
1174507454,20794,ん～マンダムｗｗｗ,,,
1174524236,20545,すげえ,,,
1174549317,5376,もじぴったん思い出す,big green,nan,nan
1174549364,10096,いぇーい,big green,nan,nan
1174549368,10491,でたｗｗｗ,big green,nan,nan
1174549381,11847,喜緑さぁあああああああああああん♪,big green,nan,nan
1174549414,15101,戻りましょうか？,big green,nan,nan
1174549441,15321,リ・ス・クでぇ～す,big green,nan,nan
1174549452,16374,私ソーダ,big green,nan,nan
1174549469,18051,ええ,big green,nan,nan
1174549476,18756,いぇ～い♪,big green,nan,nan
1174558732,6847,うまいな,,,
1174558875,21086,すげええええええええ,,,
1174560069,8022,キョンかわいいｗ,,,
1174560078,8913,おおいｗｗｗ,,,
1174560085,9563,かわいい,,,
1174560095,10574,ブルマ,,,
1174560106,11690,ｗｗｗｗｗｗ,,,
1174560118,12889,いいねえ,big green,nan,nan
1174560132,14274,歌うめえええええ,big green,nan,nan
1174560148,15916,ｗｗｗｗｗｗｗｗ,big green,nan,nan
1174560159,17021,キョーン！！,big green,nan,nan
1174560174,18537,かわいいｗ,big green,nan,nan
1174560193,20347,つよいｗｗｗｗｗｗ,big green,nan,nan
1174560214,815,２回目.+（´^ω^`）+.,,,
1174560223,1742,もうすぐ２００！！,,,
1174560234,2842,この動画は神,,,
1174560247,4125,かわいいよｗ,,,
1174560256,5036,もじぴったん思い出す,,,
1174560272,6646,１０コメ了解,red,nan,nan
1174560282,7641,神.+（´^ω^`）+.,red,nan,nan
1174560287,8165,２００ゲトヽ( ^ω^)ノ,red,nan,nan
1174560349,17411,(*´д｀*)ﾊｧﾊｧ,,,
1174560572,3736,いいね,shita,nan,nan
1174560793,14171,いいーーーーー,shita,nan,nan
1174560868,8258,ｗｗｗ,shita,nan,nan
1174560972,18638,ｗｗｗｗｗｗ,shita,nan,nan
1174560995,20941,いい,shita,nan,nan
1174561110,2549,長門－－－－☆☆☆☆,,,
1174561156,1839,ｗｗｗｗ,,,
1174574179,9456,編集いいね,,,
1174608854,8691,ん？,,,
1174608926,15869,こええぇ,,,
1174631553,16222,はさみーーー♪,,,
1174648161,7630,おｋ,,,
1174648175,9012,楽しみだｗ,,,
1174648181,9550,にょろー,,,
1174648194,10841,神ｷﾀ━━━━━━(ﾟ∀ﾟ)━━━━━━!!!!,,,
1174648202,11672,ｗｗｗ,,,
1174648289,20336,GJ,,,
1174651446,17964,ここで鳥肌,shita,nan,nan
