content,type
自力でとか普通に倒せたとかいってる人わろす,2
まあ普通はアワーグラス20個集めないけどな,2
いや、ノーマルなら普通にいけない？,2
菅野ジャズ嫌いなのにね,2
手拍子が自分も他人も聴くことに邪魔になってることに気づいてくれ･･･頼むから･･･,2
ジャズきらいなくせにコレって,2
ミュージシャンにとって、ライブ中に素人に手拍子されると、本当に困る,2
これは、JAZZじゃない。劇中はJAZZ多いけど。,2
踊りじゃねーって、ゆとりはこれだから・・・,2
手拍子ごときにぐだぐだ言う奴はプロでは無いなｗ,2
手拍子されると嬉しいけど邪魔,2
どっちも原作知ってる必要あるからのびないんだろうな～,2
これはいいなｗｗ,2
最後は好き,2
黒コメはもうちょっとストーカーっぽい黒さの方が楽しいな。怖いけど愛がある、みたいな。,2
評価はされていると思うが 如何せんジェネレーションギャップが･･･,2
画質が低いのがちょっとつらい,2
元の歌詞がわかればもっと楽しめるかも,2
これは微妙だろ　どっちも好きだけど,2
大体命命っていうけどさ…そういう言い方も実質責任逃れなんだよな。只単に命があって何？無理やり生かされてて何？,2
生きてる証って何？心だろ？大事なのは心じゃないのか？否応無しの生き様だの根拠無いハッピーエンド像だのンな事で命が語れるか,2
今の開発費と3Dに偏ったゲームより断然いいよなぁ,2
FFの展開とほぼ同じじゃん,2
強くてﾆｭｰあるから全部見るの楽だろ,2
BGM無しで撮った後別の動画の音声と合成編集してるね、仲間既に全滅済み,2
まだイージーとか言ってるやつが居るのか,2
画質がな～,2
可愛いのはわかるが、結局何がどうなんだ？,2
確かにやよいっぽくない,2
おいおい、英語の歌詞ぐらいくちんと歌っるようになってからやれよ。ギター兄ちゃんはこれだからいかん。,2
これは美しい,2
映像より音楽のがすごいと思う,2
無理やり綺麗にまとめるなよ,2
この手の出で完結してるのは珍しい,2
いやー良くまとまってるよ,2
かっこいいのか！？？,2
・・・・・・・・あれ、要するにドラえもんたちのせい？,2
いちいち元ネタ教えてくれなくてもいいよ,2
いい画像ですね,2
俺死にたくなってきた･･･,2
みんなおかしいよ、俺は癒されるよ,2
なぜfullもこのテンポでいかなかったのか,2
すごく・・・最後に相応しいです,2
今やればもう少し流行ってたかもなあ・・・,2
俺はスゲー好きだったんだけど周りのやつはなんかダメだって言われたわ,2
俺も友達に同じこと言われたわ･･･,2
好きだったんだけどグダグダだったんだよなあ,2
ヘテロダインは自然災害扱いだしナァ　スパロボでとほしいけど出てほしくない二律反正,2
小学生のときは、良さがイマイチわからなかったな,2
OPだけだと普通に強そうなんだよな,2
このちょっとくどいキャラデザが好き,2
最弱で最高のスーパーロボットやんけ！,2
装甲値200というボスボロットよりも薄い装甲,2
日本にまだ夢と希望があった時代だな・・,2
この作品だけはうすたに通ずるものがあるな・・・,2
聖杯取ったら良いのにｗ,2
あら勿体無い,2
主頑張ろうよ…,2
コメントした人恥ずかしいだろうなぁｗ,2
人に聞くばっかりで、自分で調べる努力をしない奴は解らんだろうな,2
嫉妬コメ乙,2
歌うまいんだからマイク買って編集してあげたほうがいい,2
やってても儀礼的なことだけだろうなぁｗ,2
まぁ・・・ねぇ,2
あたりまえだろｗｗｗｗ,2
普通に自動車化歩兵でいいだろｗｗｗ,2
そう言ってると後からうるさくなるぞ,2
当り前である,2
情報はないんだなこれが,2
当たり前だw,2
ですよねｗ,2
そりゃそうだろｗｗｗ,2
おまえのせいだろｗｗｗｗ,2
どうがんばっても死ぬ,2
やると思ったw,2
折られてなくても負けだったとお思うけどなｗ,2
誰もこないｗｗｗｗｗｗｗｗｗｗｗｗｗ,2
おせえよｗｗｗｗｗｗ,2
防衛やる気なさすぎｗ,2
もっと前にでていいんじゃね,2
声はいいよ、音程がんばれ,2
時間稼ぎするんだぞ？,2
気を引き締めていけよーw,2
オタク特有の腐ってる性格恥ずかしくないの？(嘲笑),2
見てませんよ～ｗｗ,2
スクゴリ使ってんの初めて見たwwww,2
サビが残念かな,2
嫌われてんじゃね？,2
やる気だしすぎｗｗｗ,2
焦りすぎやw,2
これはわざとか？,2
せっかく殺し間使うんだから、鉄砲にもう少しコスト割いたら？,2
そんな装備で大丈夫か？,2
罵倒する言葉が中学生wwwwww,2
お前は小学生だけどなwwwwww,2
すぐ怒るのは精神が弱すぎだ,2
どうせ溢れる,2
まぁ逃げられないよな,2
クソワロタ(真顔),2
まだ続けてらしたのですね,2
さすがチンパン,2
主は気付いたら一人になってる事多いね,2
主さんよくテンション保つなぁ,2
やめろとかw何様だよww,2
さっきのでもわかったけどね,2
それが問題だろ自覚ないのか,2
それ言うから伸びんのだよ,2
まぁ普通そう思うよねｗ,2
提督は帰って、どうぞ,2
まぁだいたいあってるよ,2
ビビりすぎw,2
どっか見どころあったか？,2
こういう動画を携帯で聞く人いないでしょ,2
見事な蹲踞ｗ,2
作れないのでなく作りませんか・・・,2
ワンフェスでは人気者だったダヨちゃん。,2
まー飛べてるだけまだいいよ,2
さすがにもうちょいエイム力上げようか,2
初心者に防衛側はキツイな,2
君の視界はどうなってるの？,2
これ恥ずかしくないの？,2
酔っ払いかな？,2
声が合ってないという不思議w,2
早送りなのに運転荒いとかわかるのか,2
盗賊ギルドを裏切った奴は英雄ですね解りますｗ,2
ごめーーんわざとなの,2
やらされてる法曹ほどつまらんものはないな,2
誰でもわかるｗ,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
なにやってんだあいつら・・,2
ちょっと薬物キメ過ぎなんとちゃう？,2
初代の方が全然面白い,2
聞こえん,2
練習動画かな？,2
←ホームレスみたいなのがオシャレ(笑),2
このアホ視点は叩かないで他のいい感じの視点にはでっかい口で叩くんだなくそ脳内元帥どもは,2
図書館に書籍寄付してもお礼もなかったですしね。,2
夢の無い台や,2
相手の手札見ながらは流石になぁ…,2
糞真面目な人間が損する…夜神総一郎かな？,2
こいつ大丈夫か？って思ってきました,2
俺上手いアピールしてるガキは何なの？動画上げろよ,2
名前の分別ついてなさすぎやない？大丈夫？,2
当時幼稚園児には難しすぎた,2
wikiの寄生虫のくせになにいってだ,2
テンプレ行動しかしねえな,2
意外とおもろいで,2
音もひどいしプレイも酷い良いのは声だけ,2
小学生レベル,2
カマキリが編集してるんやろ,2
なにやってんだあいつら…,2
岸本が影響受けた大友とかメビウスとかの方をまず見てから判断した方が良いと思うんだよな,2
だめだこいつ（確信),2
戦闘民族だからね、仕方ないね,2
考察になると何のコメントも出来なくなる未プレイ勢好き,2
こいつやばいな,2
こんなん完全にチャテロ,2
普通の人からしたらいい人達よね,2
精神崩壊かな？,2
多分動画としてあまり意識してないんだろな,2
ほかのプレイヤーに迷惑をかける形でのルーニープレイとはどういうものかっていう好例　ムカつくとこも含めて,2
さよなら国産,2
バケゆかはどうせちょっと（数百時間）練習しただけだろ,2
ANさぁはいろいろ裏で手を回してそう,2
ネオン輝く方かな？,2
初見実況に上手いだの下手だのってコメ恥ずかしくないの？,2
元気のいいお子さんでいらっしゃいますね,2
いっつも行動を要求されるのは操作キャラ,2
思い出にしがみつく…お嬢の言葉かな？,2
微妙なピンク色だなぁ,2
こいつ作る努力をわかった気になってるだけのサルゥなんだよなぁ,2
風景画だな。キャラがいる意味がない,2
遅くてもいいじゃない人間だものー,2
みゆきちゃん天然かな？,2
模倣かな？,2
なんやこの構図の連続......,2
関西人はタダに弱いからね,2
ほんと継続だけは強い,2
その「格安sim」のラスト1マイルインフラはどこが持ってるんだ?ということを考えて言おうね。,2
精神崩壊かな？,2
お前がヤれるわけない　愛想笑いで終了,2
流石に編集雑だわ,2
ドニーのくせにサモみたいな見た目してんなお前な,2
単発動画かな？,2
プラクティスかな？,2
学校の先生ってすごい,2
錬金釜「このデブ何なんだよ邪魔くせえな」,2
動画撮ることにも素人なんだろ察したれ,2
小学生がいるな・・・,2
自分の方がうまいというそんな玄人さんは見なくていいんだぜ？,2
己が魔羅で尻をするということわざがあってな,2
セーフガードの職員かな？（ＢＬＡＭＥ！並感）,2
カメラマンのせいでしょ!？違うかな！,2
もう動画あげないんですかね？v・。・v,2
そりゃただ勝つだけなら凡人だろう,2
これＮＡＱさんのひき弱いんだよね？実際は当たるよね？,2
これはガバガバですわ,2
これは一人プレイですか,2
幸せそうでなにより,2
武器は良いけど本人のレベルが低い的な,2
マイクオンかな？,2
皆よくこんな奴に従うね,2
元気そうで何より,2
GJだろ、常識的に考えて,2
選択肢にまともなのがないんですがそれは,2
関西だとこれが普通だからなぁ・・・,2
病院行け！,2
一人でレースしてるのかな？,2
相手の手札見ながらは流石になぁ………,2
ブレイクコアかな？,2
1番難しい(小学校の理科レベル),2
だから暇なんだろうな,2
糞真面目な奴が一番損するってそれ一,2
死にたがりか,2
何も買わずにイートインコーナーを利用できる人って、すごいよね。 きっと、大らかに育ててもらったんだね。,2
売名してこの再生数、さすがっす＾＾,2
さっきなんのスイッチだろって言ってたくせに,2
殺人者にも愛情深いですよ。,2
ファン、空気読め,2
いつものさくや,2
どうせサーベルなんぞつかわん,2
だれでもよけられそうｗｗｗ,2
暗殺者っていっても、どこぞの伝説の暗殺者()みたいなものいるしなぁ,2
最近並ぶ事皆無になったからこれが普通なのか,2
白羽の矢は刺さるものではなく立つ物じゃ。歴史より先に日本語の勉強が必要なのじゃ,2
自称日系,2
お前らが生きてること自体ミスみたいなもんなのによく人のミス叩けるな,2
ゆってないから滲み出るくっそ哀れな知能指数恥ずかしくないんか？,2
初心者なんだろ（適当）,2
下手なUTAUよりも歌詞が聞き取れる,2
服前回とおなじだけどオシャレだね,2
掛け声いらんわ,2
←そんなくっさいセリフ言って恥ずかしくないの？,2
すげえ店だなｗ,2
隠れがちのクソキャラくんオッスオッス,2
いい性格してる,2
削減するとか言い出した鳩ポッポがおかしいだけのはなし,2
さすが先輩,2
工場が海外に移転しただけ,2
いつもの,2
あわよくば有名になりたいとでも思ってんの？,2
全部人形劇とでも言う気か？,2
 そういえば明智白髪だけど歳なの？,2
コロナは日本人の考えを改め、諸外国の考え方を学べる良い教材になりましたね,2
さすが進学クラスｗ,2
単純でうらやましい,2
関係ない実況者の名前出すの寒いなぁ...,2
再生数どうされたんですか？事故ですか？,2
相手の手札見ながらは流石になぁ・・・,2
小学生ですか？,2
ファン多くて当然でしょ笑　それに、こんぐらい声かけないとライブにならないよ？？,2
中学レベルの知識があればわかるだろうに・・,2
内政で興奮する変態のイメージが強いけどそれニコニコのできる夫だわ,2
KENのセミナーによく顔出してる奴だろ 全然気持ち良さ伝わらんけど,2
薔薇族に失礼,2
ファンやば!　←それな,2
淫夢もこんなのばっかになったね,2
普通に歩く変態,2
残念なメイドだなぁ,2
ジオングがミニマムサイズの時点でお察し,2
高価格の端末を無料かのように契約させるからこうなる,2
売名したのに有名になれなかった雑魚ってマジ？,2
調べて面白いと思えるわけがないだろこいつらの頭で,2
ちょいちょい神格化しすぎな奴いんな,2
いつの時代の話なんですかねぇそれ,2
画質悪すぎ。初心者かな？,2
語彙力,2
このシリーズはいくら貰ってやられてるんですか？,2
YouTubeみたら喋り方も商材もケンの真似しててワロタ,2
あほが・・・・,2
聞いてる分にはオシャレだけど実際は・・・,2
病院行け,2
ここだけはうまいな,2
スペックだけは良い,2
↑何で？応援してるんだよ？掛け声うるさい　とか　掛け声いらない　とか最低すぎw,2
ボイスドラマのくせに一切声使われないとか恥ずかしくないの？,2
市場の荒波を掻い潜ってきた企業に民主主義政府はなんもできんよ。企業も国民なんだし,2
顔かわった？,2
タイムアタックかな？,2
うまく並べん幼稚園生みたいww,2
意味のないこだわりは捨てたほうが身軽になっていいよ。,2
幼稚園だ...,2
さっきニキの内番の袖出したときにひっかけたのかな？,2
生真面目な人は順路で戻るね,2
左端のはイタリア編に出てきた奴らかな？,2
演舞かな？,2
新鮮すぎる,2
ある意味正しい姿ですね,2
よく考えるとホモで釣るというのもおかしな話だ,2
観光ツアーかな？,2
声かけがないと、困ると思うよ？笑,2
イケメンなら対応が違うんだろな,2
帰国子女かな？,2
土下座はまだですか？ありえないおばさま,2
ダメンズかな？,2
うーん、これはギアーズ幼稚園児ｗ,2
幼稚園みたいwww,2
容赦ないマジレスといいまわしで草,2
貴様何にもしてないくせにｗｗｗｗｗｗ,2
消費者に騙して不利益生じさせまくってるのによく言うよ,2
アメリカ人の開き直りっぷりは異常,2
おもろいのはおもろいんやけどね,2
どこが可愛いのか…,2
むしろ利用料金値上がったのに還元？,2
見た目だけはふさふさやった,2
実際詐欺みたいなもんだからええやろ,2
ある程度いろんな絵を見ててもらわないと説明してあげることすら出来ないんだよなあ,2
韓国みたいな歌だな・・,2
で、考える頭無いから爆発オチっていう安直なネタしかでてこない。,2
相手の手札見ながらは流石になぁ……,2
楽しいけど…,2
比較的静かだね,2
山椒魚かな？,2
逃げるトカゲを騙し討ちのように近付いて倒すのが王の儀式なんですね・・・,2
いい服のセンスしてますね,2
金田一は子供向けなのかな？,2
我慢して持ってたら助かってたのに・・・,2
いつものホラー粘着おじさんじゃないか、呆れるなぁ,2
だめだこりゃ,2
おもしろいのに,2
人の作品に頼るのか,2
アメリカ国民かな？,2
明智が鼻で笑うレベルのトリック,2
前奏長いし、ダレてる。再構築っつーかグチャグチャにしただけって感じ,2
中には５歳児かな？,2
音楽が流れるだけ,2
スト子はエンターテイナーだな,2
あなたの服のセンスって流行に流されずに個性的ですね。,2
声きれいですね,2
この人ほんとにクスリやってない？,2
これはどちらさんの放送？,2
まるで安い怪獣番組でも見ているかのようだった。,2
凡百の屑は全員パパパッと殺して…オワリッ！,2
犯人の頭がいいことだけは分かった,2
はいはいｗ,2
掛け声いらん！！！！！,2
うみこってクレー射撃とかやって・・・。あ！賃貸物件じゃ所持許可出ないな！,2
よくある事自体問題だと思うんですが・・・半島じゃあるまいし・・・,2
D．屋上で刃傷沙汰を起こす,2
自称名人まじカッコよくないからコメしないでくれw,2
ソロプレイかな？,2
やめりゃいいじゃんw,2
よかったな、お前の思い通りになって...,2
動きぎこちないな,2
BGMのセンス皆無なのはもこう意識してるん？,2
相手の手札見ながらはさすがになぁ……,2
相手の手札みながらはさすがになぁ…,2
お金でももらってんの？,2
IQ50くらいしかなさそう,2
弱いだけの人間に魅力があるとでも？,2
どこも置いてなさそうな台だな,2
日本人だったらいいのにな,2
さすが自称バランサー様やで,2
ゴッドの前半の暴れっぷりは気持ちよかった,2
下手くそ二人が仲良く脱落して僕満足！,2
ロリコンレズ野獣先輩姉貴は何色でこめんとしたらいいんですかね？,2
無礼者かな？,2
あなたのアイデアが認められるなんて、会社の役員も勇気がありますね。,2
向こうも弱くはないはずなんだけどなぁ…,2
久しぶりにマイリス多い,2
主人公だから仕方ない,2
いいたいだけだろ,2
ここの従業員どうしょうもねぇな,2
誰だよとかエアプ丸出しで草　恥ずかしくないの？,2
また君かぁ、やめたら？まだ投稿してる人の作品を釣りに使うの,2
あなたが時間より遅れてきてくれたからじっくりと考え事ができました。,2
臨時休校すれば鎖国もすれば？,2
恥を見に来ました,2
まぁ、２０歳児さんですし。,2
何で皆、文句ばっかりいうの？？あきれるー笑,2
今週刊で描いてる人で総合力で凄い人って全然いないな。月刊なら幸村誠とかいるんだけど,2
たのしそうだな,2
誰でも分かるんだよなぁ･･･,2
この前の怪文書と大違いっすね…,2
演出はいいんだよなぁ,2
お笑い芸人かな?,2
マスク２枚ありがとうございます,2
口パクやめろ、ちゃんと歌え,2
これ勝つ気ねーだろ,2
ピアノしか上手くないあ,2
スタッカート？な歌い方じゃなければなぁ,2
OVAだけ、仁王の作画は神だったｗｗ,2
最初は主人公らしかったのにね,2
ガキさんは優先でやっていこう,2
＼さっすがガキさんだぁ!/,2
子供はいいとして親がアレだなｗ,2
今のドラえもんの何処に面白さを見い出せと？,2
声がいい音痴が実在すると知れてよかった,2
売国と脱税で有名な総理です。,2
どっか強盗でもしてきたような顔,2
金だけがとりえの首相,2
本当に東大出身なのか？,2
苦労しないでも金いっぱいあるからか,2
なんで最高裁判所が自分の判決にコメントできないの？,2
ＢＧＭはいいのにねえ,2
つまらない時間をありがとう,2
ホント言い訳ばっかだな・・・一回でお腹いっぱいだよ＾＾,2
こんだけ適当プレイでも勝てるんだ,2
パッケージだけは立派だな,2
これを使うと他の製品がマシに思える,2
10連敗もできるってすごいなぁ,2
こいつは呼吸するように金を使ってるんだろうな。,2
どうぞ刑務所にお帰りください,2
サルなみの反省,2
サルと同じだよ、こいつの反省は,2
今日のへでなし動画はここですか,2
こんなリーダーに付いて行けるのは悪人だよ,2
その場だけの反省はサルと同じだ,2
この委員長、時間稼ぎが酷いわ,2
汚い仕事ができる秘書だから、だね,2
都合が悪いと記憶喪失になる,2
しょうがないよ。脳みそが鳩並みなんだから,2
鳥頭っていうんじゃない？ハトなだけに,2
脱法なんて脱税王にとっては屁の河童,2
犯罪がうまいからだろ,2
しかし、鳩山は間抜けな顔してやることはすごいな！,2
こんなやつが日本国民の模範たる内閣総理大臣！！！！,2
へでなし総理登場,2
都合良く忘れるなあ,2
不正のプロフェッショナルに任せれば安心と思った,2
先生に怒られる小学生,2
お母さんに説教されてるバカ息子みたいだ,2
これは?先生による先生のお説教ですか?,2
息を吐くように嘘をつく,2
赤い彗星を超えた黒い土鳩,2
ヤバくなると記憶をなくす罪人,2
年数百万なんて覚えてられねーよな。億単位で不正してるのに,2
都合よく痴呆症,2
上杉って日本破壊のスパイだよな,2
不正が上手だと信頼していた秘書ですね,2
もう脱税が趣味なんだよ,2
都合の良い頭だなおい,2
自分のお金も管理出来ない総理大臣,2
金で買った総理の座,2
真空管ラジオ並みの通電の悪さ,2
すごいな。間違ってもなってはいけない大人の例だ,2
不正の手腕に信頼の置ける秘書,2
こんな鳩は世界に一匹,2
国会ってみんなで楽しい言い合いをするための遊び道具ってわけだな,2
あの仕事ぶりで疲れるわけないじゃん,2
ぜひ牢屋でごゆっくり余生を過ごして下さい,2
能力が無いのに、高い地位に居るのは不幸ですもんね,2
九州人って女の腐ったのみたい,2
結局はパチ屋の手先じゃんコイツ,2
今は紳士的,2
保守はきれいな人多いな,2
子供のおもちゃにされてもかまわないと。偉いな,2
節約ブームにのってるだけなんだろうな,2
原発に関わってるとネジ飛んじゃうのかな？,2
節約が趣味なんだろ,2
動物の習性って思って諦めるしかないな。,2
こんな広い会場使えるって相当有名なんだろうな〜,2
下手くそだが楽しそうだなぁ,2
忘れたフリ上手ですね,2
こんな人でも生きていけるんだな,2
都合の悪いことは忘れる便利な脳を持ってます,2
言葉だけは立派ですね,2
主婦は悩みがなくていいよね,2
つまらない情報ありがとう,2
スマホがないと勉強が捗るね,2
頭だけはいいんだね,2
今日だけは豪華だな,2
