comment,type,,,,,,,,,,
聖杯取ったら良いのにｗ,2,,,,,,,,,,
あら勿体無い,2,,,,,,,,,,
主頑張ろうよ…,2,,,,,,,,,,
コメントした人恥ずかしいだろうなぁｗ,2,,,,,,,,,,
人に聞くばっかりで、自分で調べる努力をしない奴は解らんだろうな,2,,,,,,,,,,
嫉妬コメ乙,2,,,,,,,,,,
歌うまいんだからマイク買って編集してあげたほうがいい,2,,,,,,,,,,
やってても儀礼的なことだけだろうなぁｗ,2,,,,,,,,,,
まぁ・・・ねぇ,2,,,,,,,,,,
あたりまえだろｗｗｗｗ,2,,,,,,,,,,
普通に自動車化歩兵でいいだろｗｗｗ,2,,,,,,,,,,
そう言ってると後からうるさくなるぞ,2,,,,,,,,,,
当り前である,2,,,,,,,,,,
情報はないんだなこれが,2,,,,,,,,,,
当たり前だw,2,,,,,,,,,,
ですよねｗ,2,,,,,,,,,,
そりゃそうだろｗｗｗ,2,,,,,,,,,,
おまえのせいだろｗｗｗｗ,2,,,,,,,,,,
どうがんばっても死ぬ,2,,,,,,,,,,
やると思ったw,2,,,,,,,,,,
折られてなくても負けだったとお思うけどなｗ,2,,,,,,,,,,
誰もこないｗｗｗｗｗｗｗｗｗｗｗｗｗ,2,,,,,,,,,,
おせえよｗｗｗｗｗｗ,2,,,,,,,,,,
防衛やる気なさすぎｗ,2,,,,,,,,,,
もっと前にでていいんじゃね,2,,,,,,,,,,
声はいいよ、音程がんばれ,2,,,,,,,,,,
時間稼ぎするんだぞ？,2,,,,,,,,,,
気を引き締めていけよーw,2,,,,,,,,,,
オタク特有の腐ってる性格恥ずかしくないの？(嘲笑),2,,,,,,,,,,
見てませんよ～ｗｗ,2,,,,,,,,,,
スクゴリ使ってんの初めて見たwwww,2,,,,,,,,,,
サビが残念かな,2,,,,,,,,,,
嫌われてんじゃね？,2,,,,,,,,,,
やる気だしすぎｗｗｗ,2,,,,,,,,,,
焦りすぎやw,2,,,,,,,,,,
これはわざとか？,2,,,,,,,,,,
せっかく殺し間使うんだから、鉄砲にもう少しコスト割いたら？,2,,,,,,,,,,
そんな装備で大丈夫か？,2,,,,,,,,,,
罵倒する言葉が中学生wwwwww,2,,,,,,,,,,
お前は小学生だけどなwwwwww,2,,,,,,,,,,
すぐ怒るのは精神が弱すぎだ,2,,,,,,,,,,
どうせ溢れる,2,,,,,,,,,,
まぁ逃げられないよな,2,,,,,,,,,,
クソワロタ(真顔),2,,,,,,,,,,
まだ続けてらしたのですね,2,,,,,,,,,,
さすがチンパン,2,,,,,,,,,,
主は気付いたら一人になってる事多いね,2,,,,,,,,,,
主さんよくテンション保つなぁ,2,,,,,,,,,,
やめろとかw何様だよww,2,,,,,,,,,,
さっきのでもわかったけどね,2,,,,,,,,,,
それが問題だろ自覚ないのか,2,,,,,,,,,,
それ言うから伸びんのだよ,2,,,,,,,,,,
まぁ普通そう思うよねｗ,2,,,,,,,,,,
提督は帰って、どうぞ,2,,,,,,,,,,
まぁだいたいあってるよ,2,,,,,,,,,,
ビビりすぎw,2,,,,,,,,,,
どっか見どころあったか？,2,,,,,,,,,,
こういう動画を携帯で聞く人いないでしょ,2,,,,,,,,,,
見事な蹲踞ｗ,2,,,,,,,,,,
作れないのでなく作りませんか・・・,2,,,,,,,,,,
ワンフェスでは人気者だったダヨちゃん。,2,,,,,,,,,,
まー飛べてるだけまだいいよ,2,,,,,,,,,,
さすがにもうちょいエイム力上げようか,2,,,,,,,,,,
初心者に防衛側はキツイな,2,,,,,,,,,,
君の視界はどうなってるの？,2,,,,,,,,,,
これ恥ずかしくないの？,2,,,,,,,,,,
酔っ払いかな？,2,,,,,,,,,,
声が合ってないという不思議w,2,,,,,,,,,,
早送りなのに運転荒いとかわかるのか,2,,,,,,,,,,
盗賊ギルドを裏切った奴は英雄ですね解りますｗ,2,,,,,,,,,,
ごめーーんわざとなの,2,,,,,,,,,,
やらされてる法曹ほどつまらんものはないな,2,,,,,,,,,,
誰でもわかるｗ,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
,2,,,,,,,,,,
